ruleId;ruleName;Puntaje;Order
aaKKhIl8SCk-LLgfxDJhlLg;+95kmh;50;1
aoaCFk11wXEWJ980mWkldtg;+90kmh;40;2
aS01VOydN0Ui-0va_9_RL-Q;+85kmh;25;3
aTPfE7v7b8kaehZvfEx5GKw;+80kmh;2;4
aSMu4kp8qn0OlL78ZriQt4g;Frenada brusca;10;5
a_6yvwnRGQ0iCjO3dlSUdGg;Giro brusco - Ambev global;10;6
a0cW-d8FTBEmfV1QIYvg0ow;Aceleracion brusca.;10;7
aTXspSmqnr0q5gfwjK6cwFg;SRF_Uso del teléfono celular;50;9
akOzWZMldtUOJaDCLzIdapg;SRF_Cinturón de seguridad desabrochado;40;10
aOPl5UqIUY02LWW-QlUzgsw;SRF_Conducción demasiado cercana al vehículo precedente;25;11
ag0FqAsyxwUatg9xlDSbtkw;SRF_Obstrucción del lente;50;12
