Orden;Nombre;Id;Puntaje
10;25_Aceleracion brusca - Livianos;aWrluMSZ_kEWFs1VIVsNDNg;1
10;25_Aceleracion brusca - Personal;ahGr6GP8HR0aFwwf_llNiWA;1
10;25_Aceleracion brusca - Pesados;aCTr4SUREK0Kf9-_yzJSdZg;1
6;25_Exceso de velocidad en Ciudad Livianos;a-eUJcfB7xUGP_tIuqQ7Y7A;3
6;25_Exceso de Velocidad en Ciudad Personal;agvFl8N15d0iz_gWqv46cRw;3
6;25_Exceso de velocidad en Ciudad Pesados;akYw4YBWW4kCkYVA1jfznkg;3
7;25_Exceso de velocidad en Ripio Livianos;a-5ol6-xGg0GVGaH3R3QIgw;10
7;25_Exceso de velocidad en Ripio Personal;aIeerEnTyuEWjjxhJ4Y-WFw;10
7;25_Exceso de velocidad en Ripio Pesados;aUsPo0SATDEyMzVLsmYycgQ;10
4;25_Exceso de velocidad en Ruta Livianos;a6dbr0ZTpQUuN4krU6cnatQ;5
4;25_Exceso de velocidad en Ruta Personal;aatZ1WxGha0mV9S5CpDlVDw;5
4;25_Exceso de velocidad en Ruta Pesados;aEaJqxE7gbEuaz8EXO3uQ7g;5
5;25_Exceso de velocidad en Yacimiento Livianos;arxLlUt7bTEuwVcBZyGcI9g;5
5;25_Exceso de velocidad en Yacimiento Personal;a6mm8CW5_7EaumHfmVF7aIw;5
5;25_Exceso de velocidad en Yacimiento Pesados;asijsQMQMlUWgn8Ta7KTfUQ;5
8;25_Exceso en Base_Livianos;abZQgGA47xEqJiXRiB6GsWw;5
8;25_Exceso en Base_Personal;af0Khtr0GSUOemEKHz4tRcg;5
8;25_Exceso en Base_Pesados;aPHH2Vplz_0iaOyzqODko7w;5
3;25_Exceso Grave_Livianos_Ciu;a7K5i9jUg4kiKp57D-y068w;10
1;25_Exceso Grave_Livianos_Rut;an_WsF-iezEO5mB40Y_c3Gg;10
2;25_Exceso Grave_Livianos_Yac;avV7BsW7J_UazO8twQpaZ5Q;10
3;25_Exceso Grave_Personal_Ciu;aZEXuQpfBK0ebIMvHu1w-_w;10
1;25_Exceso Grave_Personal_Rut;aLePGgPo0SEKYKtBztzOCIg;10
2;25_Exceso Grave_Personal_Yac;aEr30nKmWY0mFZBSlrXnl4w;10
3;25_Exceso Grave_Pesados_Ciu;aFDOK0aUHe0ehVD9jEG9jmQ;10
1;25_Exceso Grave_Pesados_Rut;asdqf6nKO5UOioXqZW75cWg;10
2;25_Exceso Grave_Pesados_Yac;afoHZxvlTJEaaVHXlFdqDGg;10
9;25_Frenada brusca - Livianos;abjXui6i5qkmC3UYtPxovcQ;2
9;25_Frenada Brusca - Personal;askr06rLB1UiMtotEDPpwkw;2
9;25_Frenada brusca - Pesados;avhkKT61ksE240ApVqcr2qw;2
11;25_Giros Livianos;aJFXCcheZ4kq9mbI5EYDC4A;1
11;25_Giros Personal;an55HKVz0GE2eAnEYN9ulXw;1
11;25_Giros Pesados;aNjBfb33Nc0WUSWItcXNZfQ;1
